"","Nr","P1","P2","P3_7","P3_8","P3_9","P3_10","P4_1","P4_2","P4_3","P4_4","P4_5","P4_6","P4_7","P4_8","M4","M4a","D1","D2","EAS_EMO","EAS_AKTYW","EAS_TOW","EAS_NIESM","D2.1","D2.3","D2.6","D2.7","D2.5","D2.10","D_nastroj_srednia","D_zmeczenie_pocz","D_zmeczenie_koniec","kroki_L","kroki_P","D_wola","D_pyta","D_dotyka","D_uzywa","D_długość_wyc","liczba_eksponatow","krokow_na_minute"
"1",1,5,1,7,3,5,7,5,5,4,4,4,4,3,4,7,4,1,2008,15,15,20,10,3,2,2,1,3,4,7.33333333333333,5,9,2977,2930,8,4,5,52,125,52,47.256
"2",2,3,2,7,7,1,4,4,3,4,5,4,5,5,1,7,4,2,2008,16,25,15,17,3,2,3,4,2,4,8.6,1,3,2020,1840,6,0,5,30,135,36,28.5925925925926
"3",3,2,2,5,3,4,3,4,3,2,5,2,3,2,4,7,4,2,2005,11,19,19,10,4,1,3,1,2,4,9,1,1,2844,2837,4,1,13,59,166,79,34.2228915662651
"4",4,2,1,5,5,5,5,4,3,4,5,4,2,3,3,1,3,1,2006,9,17,17,15,4,1,2,2,1,4,8.125,1,2,1030,868,2,2,18,63,161,90,11.7888198757764
"5",5,1,2,7,6,1,6,5,3,2,5,2,5,3,5,3,4,2,2009,16,21,17,6,4,1,3,1,1,4,8.6,1,1,2464,2464,62,23,2,66,165,78,29.8666666666667
"6",6,3,1,5,7,1,5,5,2,3,5,3,5,4,2,7,4,2,2009,17,24,21,10,4,1,4,2,1,4,8,3,5,3702,3315,6,7,25,26,153,53,45.8627450980392
"7",7,1,1,5,7,3,7,3,4,5,4,4,5,5,1,7,4,2,2009,22,24,14,22,4,2,2,2,2,3,8,1,8,2574,2819,23,12,35,53,165,78,32.6848484848485
"8",8,10,1,7,6,2,3,4,4,4,5,3,5,5,2,1,4,2,2006,21,15,11,10,4,1,2,2,2,4,8.125,3,1,1753,1829,1,6,52,24,153,67,23.4117647058824
"9",9,2,1,7,6,2,2,5,2,2,5,2,4,1,4,7,4,1,2010,14,20,16,15,4,1,3,1,2,4,8.875,1,3,1941,1336,66,0,1,61,150,53,21.8466666666667
"10",10,1,1,6,4,4,4,3,3,2,4,2,3,2,3,7,3,2,2009,12,18,20,12,4,1,3,1,1,4,6.25,1,9,2560,2520,3,0,20,60,161,83,31.5527950310559
"11",11,1,1,7,6,1,1,5,2,1,5,2,5,1,4,1,4,1,2009,11,17,20,10,4,2,3,1,1,4,7.25,1,5,1889,1732,7,16,17,56,157,63,23.0636942675159
"12",12,2,1,6,3,4,1,5,1,1,4,2,4,2,4,7,3,2,2006,11,18,19,7,4,1,4,2,1,4,9,2,1,2731,2713,17,15,5,67,140,66,38.8857142857143
"13",13,2,1,3,7,1,6,3,4,3,5,4,5,3,3,1,2,2,2009,20,24,21,16,4,2,1,2,2,3,8.33333333333333,1,9,3152,3064,1,7,43,26,154,53,40.3636363636364
"14",14,2,1,6,6,1,6,4,2,3,4,2,5,3,4,7,4,1,2006,15,20,14,10,3,2,2,2,2,3,5.4,5,6,1427,1207,3,2,20,58,180,63,14.6333333333333
"15",15,1,1,4,7,4,3,4,2,3,2,2,5,3,2,2,4,2,2008,13,23,22,9,3,1,2,1,2,4,8.88888888888889,2,3,2654,2551,7,12,14,36,175,43,29.7428571428571
"16",16,1,1,5,7,3,4,4,3,3,4,3,5,5,3,1,4,2,2009,13,20,18,10,4,1,2,1,3,3,8.16666666666667,2,9,2461,2246,6,6,23,20,121,32,38.900826446281
"17",17,1,1,7,6,7,3,3,3,5,5,4,5,4,2,7,4,2,2007,17,21,17,17,4,2,1,2,1,3,7.5,1,1,2535,2535,1,2,73,34,141,78,35.9574468085106
"18",18,1,1,7,4,1,4,4,2,3,4,3,4,2,3,7,4,1,2005,17,21,21,11,4,1,2,1,2,4,9,1,3,787,787,76,1,5,79,180,82,8.74444444444444
"19",19,1,1,7,5,1,1,5,3,2,3,2,4,2,3,7,3,2,2010,9,21,21,11,4,2,3,1,1,4,6.33333333333333,9,5,4066,3853,15,22,42,45,164,111,48.2865853658537
"20",20,1,1,7,3,3,2,5,2,3,5,2,4,2,5,1,3,1,2005,11,19,22,12,4,1,2,1,2,4,8.625,1,4,1312,1264,54,0,1,77,144,100,17.8888888888889
"21",21,2,1,6,6,1,2,5,2,3,4,2,5,2,3,7,4,1,2008,12,22,17,9,4,1,3,1,1,4,9,1,1,1727,1732,12,30,32,57,155,66,22.3161290322581
"22",22,1,2,7,4,1,1,5,2,1,5,1,4,2,3,1,2,2,2008,15,21,20,10,4,2,4,1,1,3,8.75,5,1,2478,2427,3,29,92,21,141,96,34.7872340425532
"23",23,2,1,6,6,1,1,5,3,3,5,3,4,1,4,7,4,2,2007,15,22,20,8,4,1,3,1,1,4,8.75,1,1,2654,2653,9,10,3,39,165,41,32.1636363636364
"24",24,1,1,5,7,2,4,4,3,3,5,3,4,3,3,1,4,1,2009,18,22,20,9,4,1,2,2,2,4,9,5,1,2383,2335,11,28,14,43,166,64,28.421686746988
"25",25,1,1,7,6,1,2,5,1,2,5,2,4,3,4,4,3,1,2007,15,23,22,7,4,1,4,1,1,4,9,3,1,1192,1388,26,7,30,55,170,56,15.1764705882353
"26",26,2,1,7,6,2,5,5,2,2,5,2,4,2,4,7,4,2,2010,12,21,16,8,4,2,2,1,3,4,7.33333333333333,1,9,1690,1771,7,10,52,45,170,46,20.3588235294118
"27",27,4,1,5,3,2,3,4,2,2,3,1,4,3,2,7,3,2,2005,11,20,16,11,4,1,5,1,2,4,7.25,3,4,925,921,14,13,56,45,160,67,11.5375
"28",28,3,1,6,5,2,2,5,4,5,5,3,5,1,4,7,3,1,2007,19,24,22,16,4,2,4,1,1,4,8.625,3,1,1962,2123,5,3,38,63,155,54,26.3548387096774
"29",29,1,1,6,5,6,5,3,3,3,4,3,3,2,4,3,3,1,2005,13,10,15,18,4,2,3,1,2,4,7.875,1,5,1365,1293,3,4,16,59,155,56,17.1483870967742
"30",30,1,1,7,6,1,1,4,1,3,4,2,5,3,3,7,4,2,2009,18,18,18,15,4,1,2,5,1,4,8.5,1,3,778,1126,7,15,16,40,158,40,12.0506329113924
"31",31,3,1,7,7,4,5,3,3,2,4,3,4,3,3,1,4,2,2005,15,19,15,5,4,1,2,2,3,4,8.625,1,3,1393,2149,24,40,91,38,142,86,24.943661971831
"32",32,3,1,6,6,1,1,5,2,3,5,3,5,1,4,7,4,1,2005,10,21,19,9,4,2,3,1,2,4,8.125,3,9,1897,1955,17,27,17,68,159,89,24.2264150943396
"33",33,2,1,6,4,6,3,4,2,4,3,4,3,3,2,7,4,2,2007,17,14,22,9,3,4,4,1,3,3,7,6,7,2420,2527,14,13,70,49,170,90,29.1
"34",34,2,1,5,5,5,6,4,3,3,3,3,4,3,3,3,3,2,2006,15,16,14,20,4,1,1,1,3,4,8.55555555555556,1,9,3236,3073,4,1,7,90,180,85,35.05
"35",35,4,1,7,4,1,1,4,2,2,5,3,3,1,4,7,4,2,2006,12,15,19,10,4,1,2,1,2,4,9,1,2,3076,2955,0,0,74,55,160,79,37.69375
"36",36,6,1,6,1,4,1,4,3,3,5,2,4,2,3,7,4,1,2006,12,20,25,16,4,1,3,1,2,4,8.125,1,3,1212,1279,8,13,81,77,168,86,14.827380952381
"37",37,1,2,7,4,5,2,4,3,3,3,3,4,3,3,7,4,2,2010,14,19,23,14,4,1,3,1,1,4,8.71428571428571,1,1,2564,2474,9,8,15,40,154,55,32.7142857142857
"38",38,6,1,7,7,1,1,4,1,1,4,2,5,3,4,7,3,2,2007,17,25,21,10,4,1,4,1,1,4,9,1,1,2270,2309,11,4,57,65,160,70,28.61875
"39",39,1,1,7,7,1,1,5,1,1,5,2,5,1,4,7,4,1,2006,13,25,17,8,4,1,2,1,2,4,9,1,1,1104,872,7,18,9,73,181,62,10.9171270718232
"40",40,2,1,7,7,1,4,4,4,4,5,4,5,4,4,1,4,2,2005,12,21,21,5,4,2,4,2,2,4,8.5,3,2,2311,2302,3,3,48,43,157,70,29.3821656050955
"41",41,2,1,6,5,3,2,5,2,2,5,3,4,2,4,3,3,1,2010,12,18,18,14,4,2,3,1,2,4,7.44444444444444,5,7,2392,3043,15,24,95,62,169,121,32.1597633136095
"42",42,1,1,7,5,5,6,4,1,2,5,3,4,3,4,3,3,2,2005,14,14,22,10,4,3,3,2,1,3,8.44444444444444,2,2,2691,2911,6,10,93,90,169,84,33.1479289940828
"43",43,1,1,7,7,1,1,5,2,2,5,2,5,2,3,5,4,2,2009,10,24,20,8,4,1,2,1,3,4,8.33333333333333,1,8,2584,2666,11,37,77,41,165,74,31.8181818181818
"44",44,2,1,6,6,2,6,4,2,2,4,3,4,3,3,3,4,1,2007,14,19,20,13,4,1,2,1,1,4,8.88888888888889,1,1,2208,1977,12,4,31,88,167,119,25.059880239521
"45",45,1,1,6,2,1,1,4,2,3,4,2,4,2,3,7,3,2,2009,10,19,16,12,4,2,3,1,2,4,8.14285714285714,1,1,1902,2355,26,4,2,30,124,48,34.3306451612903
"46",46,1,2,5,7,7,6,5,2,3,5,3,5,5,4,3,4,2,2009,16,24,20,7,4,1,2,1,1,4,6.88888888888889,3,6,3604,3570,3,22,75,42,169,70,42.4497041420118
"47",47,2,1,5,7,1,3,5,2,3,4,3,5,4,2,7,4,2,2010,16,24,20,11,4,1,2,1,1,4,8,1,1,3221,3437,12,5,25,23,155,38,42.9548387096774
"48",48,3,1,5,4,2,4,5,2,2,5,3,4,1,3,7,4,1,2006,15,23,19,7,4,1,2,1,1,4,7.375,1,5,1935,1979,10,5,20,40,171,57,22.8888888888889
"49",49,2,2,6,6,2,2,4,2,2,5,2,3,2,2,7,4,2,2008,18,20,20,8,4,1,2,1,2,4,8.11111111111111,1,3,2649,2472,0,1,73,36,166,70,30.8493975903614
"50",50,2,2,7,7,1,1,5,2,3,5,2,4,3,5,7,3,2,2008,15,25,21,9,4,1,2,1,1,4,9,1,1,3412,3592,11,11,43,21,140,75,50.0285714285714
"51",51,2,1,7,7,1,3,5,3,3,5,2,5,3,3,7,4,1,2008,15,25,19,7,4,1,2,2,1,4,8.77777777777778,1,2,2334,2673,7,1,7,89,170,86,29.4529411764706
"52",52,1,1,7,5,5,2,4,2,3,5,4,2,1,4,7,4,2,2008,19,13,22,6,4,1,3,2,2,4,5.88888888888889,5,1,1876,2379,6,2,10,49,176,62,24.1761363636364
"53",53,3,2,7,2,1,2,5,2,2,4,3,4,1,4,7,4,2,2006,9,25,24,7,3,2,1,1,3,3,7.44444444444444,3,5,3229,3371,7,0,8,62,180,67,36.6666666666667
"54",54,1,1,4,5,3,4,4,3,4,4,4,3,3,3,7,4,2,2009,16,16,20,14,2,3,1,1,2,3,6.71428571428571,1,1,2838,2613,5,5,29,27,149,77,36.5838926174497
"55",55,1,2,7,6,1,3,5,3,4,5,2,5,3,3,7,4,2,2009,12,25,19,11,4,1,3,1,1,4,8.25,1,1,3889,4087,2,1,18,42,142,55,56.169014084507
"56",56,1,1,6,6,1,4,4,2,3,4,2,5,3,3,7,4,2,2009,13,19,21,8,4,1,3,1,1,4,9,1,1,1680,1793,59,2,3,72,150,74,23.1533333333333
"57",57,2,2,7,7,1,1,5,1,1,5,1,5,1,3,3,4,1,2006,11,25,24,8,4,1,2,1,1,2,9,1,1,2591,2155,0,4,69,71,181,80,26.2209944751381
"58",58,3,1,7,6,1,1,5,2,2,5,2,4,1,4,4,4,1,2006,11,23,18,10,4,1,2,1,1,4,9,1,1,2012,2100,7,11,17,45,170,53,24.1882352941176
"59",59,2,1,7,5,3,2,4,2,3,2,3,2,2,4,7,4,1,2008,13,20,17,10,4,1,3,1,1,4,7.85714285714286,1,5,3186,3204,1,1,13,13,158,30,40.4430379746835
"60",60,1,2,2,6,1,4,5,4,4,5,2,4,2,3,7,4,2,2009,18,16,13,16,4,1,2,2,2,4,5.33333333333333,7,5,805,823,0,0,1,14,134,17,12.1492537313433
"61",61,2,1,7,4,1,5,5,2,2,5,2,5,3,3,7,4,2,2008,10,22,20,5,4,1,1,1,1,4,9,1,1,2807,2594,32,5,6,36,160,45,33.75625
"62",62,1,1,6,6,1,2,5,3,3,4,2,5,1,4,7,4,1,2006,15,23,18,15,4,1,2,1,1,4,8.75,1,3,1156,1019,2,6,15,82,151,89,14.4039735099338
"63",63,2,2,7,5,2,1,4,2,3,4,3,3,2,4,7,4,1,2005,15,17,22,8,3,1,2,2,2,4,8.1,2,4,2272,2272,2,8,20,57,179,72,25.3854748603352
"64",64,2,1,7,7,7,7,4,2,3,5,3,4,1,3,1,4,1,2007,13,24,25,6,4,1,2,1,2,4,8.125,2,3,2103,2103,20,2,3,27,155,39,27.1354838709677
"65",70,1,1,7,5,2,2,5,2,1,4,3,4,1,4,2,4,1,2009,15,19,20,16,4,2,2,1,1,4,8.2,3,2,2687,2764,3,20,26,90,184,99,29.625
"66",65,1,1,7,6,1,4,5,2,2,5,2,5,3,4,7,4,2,2009,12,23,19,7,4,1,2,1,1,4,9,1,1,2392,2562,4,7,12,60,180,67,27.5222222222222
"67",66,1,1,7,5,2,4,5,3,2,4,1,4,3,2,7,3,2,2006,16,18,13,10,4,1,2,1,2,4,9,1,3,2702,2793,0,4,77,65,165,76,33.3030303030303
"68",67,3,1,5,4,3,3,2,2,3,2,4,2,3,3,7,4,2,2004,13,13,11,18,4,1,2,2,2,4,8.375,2,3,1325,1392,10,4,63,59,151,90,17.9933774834437
"69",68,2,1,5,3,1,3,4,4,2,3,3,2,3,4,7,3,2,2009,18,17,22,8,4,2,3,1,1,4,8.7,3,3,2463,2701,6,14,37,47,178,79,29.0112359550562
